test1;test2;test3;test4;total_score;total_score_without_hw;final_score;d_campus;d_mothereduc_uni;d_derivation;time_slot_tuesday;time_slot_wednesday;time_slot_thursday;time_slot_friday;treatment_gain;treatment_loss;treatment_hybrid;homework_total;semester_tests;final_test;d_female;d_okt2;d_okt3;d_okt4;d_okt5;d_okt6;d_okt7;Group;female_loss;female_hybrid;macro_interest;macro_grade_goal;risk_pref;comp_pref;time_pref
12;15;16;16;103,5;91,5;91,5;0;0;1;1;0;0;0;0;1;0;12;47;32,5;1;0;0;0;0;0;1;1;1;0;3;5;5;8;12.000 forint
9;8;14,5;10;80,67;69,5;72,67;0;1;0;1;0;0;0;0;1;0;11,17;33,5;28;0;0;0;0;0;0;1;1;0;0;5;5;4;6;15.000 forint
13;14,5;13;15;102,5;91;89,5;0;1;1;1;0;0;0;0;1;0;11,5;42,5;35,5;1;0;0;0;0;0;1;1;1;0;4;5;6;1;15.000 forint
7;7;14;11,5;78,5;69;71,5;0;1;1;1;0;0;0;0;1;0;9,5;32,5;29,5;1;0;0;0;0;0;1;1;1;0;3;5;7;4;15.000 forint
11;15;12;10;88,5;79;78,5;0;1;1;1;0;0;0;0;1;0;9,5;38;31;1;0;0;0;0;0;1;1;1;0;2;5;4;6;11.000 forint
15;16;15,5;16;105,25;93,5;90,25;0;1;0;1;0;0;0;0;1;0;11,75;47,5;31;1;0;0;0;0;0;1;1;1;0;4;5;5;8;15.000 forint
4;13;10,5;15;86;74,5;82;0;1;0;1;0;0;0;0;1;0;11,5;38,5;32;1;0;0;0;0;0;1;1;1;0;3;4;3;3;15.000 forint
15;14;16;15,5;105;93;91;0;0;0;1;0;0;0;0;1;0;12;46,5;32,5;1;0;0;0;0;0;1;1;1;0;3;5;2;5;11.000 forint
10;10,5;8;10;76,5;65;68,5;0;1;1;1;0;0;0;0;1;0;11,5;30,5;26,5;1;0;0;0;0;0;1;1;1;0;5;5;8;7;20.000 forint
13;14;13;15;103,5;92;90,5;0;1;1;1;0;0;0;0;1;0;11,5;42;37;1;0;0;0;0;0;1;1;1;0;3;4;6;8;12.000 forint
9;7;10,5;7,5;70,5;59;63,5;0;1;0;1;0;0;0;0;1;0;11,5;27;25;0;0;0;0;0;0;1;1;0;0;4;5;6;8;15.000 forint
12;14,5;13,5;12,5;98,25;86,5;86,25;0;1;1;1;0;0;0;0;1;0;11,75;40,5;34;0;0;0;0;0;0;1;1;0;0;4;5;6;8;11.000 forint
13;9,5;9,5;10;76,25;65;66,75;0;1;1;1;0;0;0;0;1;0;11,25;32,5;23;1;0;0;0;0;0;1;1;1;0;5;5;7;5;20.000 forint
12;13;16;11;95,5;84,5;84,5;0;0;0;1;0;0;0;0;1;0;11;41;32,5;0;0;0;0;0;0;1;1;0;0;4;5;6;6;15.000 forint
