test1;test2;test3;test4;final_test;semester_tests;total_score;total_score_without_hw;final_score;d_szfvar;d_nowork;d_okt;d_mothereduc_uni;d_derivation;time_slot_tuesday;time_slot_wednesday;time_slot_thursday;time_slot_friday;treatment_hybrid;treatment_loss;treatment_gain;homework_total;d_no;d_okt2;d_okt3;d_okt4;d_okt5;d_okt6;d_okt7;female_loss;female_hybrid;Group;loss_final;loss_semester;Group_cat
12,0;15,0;16,0;16,0;32,5;47,0;103,50;91,5;91,50;0;0;7;0;1;1;0;0;0;0;1;0;12,00;1;0;0;0;0;0;1;1;0;G01;1;1;1
9,0;8,0;14,5;10,0;28,0;33,5;80,67;69,5;72,67;0;1;7;1;0;1;0;0;0;0;1;0;11,17;0;0;0;0;0;0;1;0;0;G01;1;1;1
13,0;14,5;13,0;15,0;35,5;42,5;102,50;91,0;89,50;0;1;7;1;1;1;0;0;0;0;1;0;11,50;1;0;0;0;0;0;1;1;0;G01;1;1;1
7,0;7,0;14,0;11,5;29,5;32,5;78,50;69,0;71,50;0;0;7;1;1;1;0;0;0;0;1;0;9,50;1;0;0;0;0;0;1;1;0;G01;1;1;1
11,0;15,0;12,0;10,0;31,0;38,0;88,50;79,0;78,50;0;1;7;1;1;1;0;0;0;0;1;0;9,50;1;0;0;0;0;0;1;1;0;G01;1;1;1
15,0;16,0;15,5;16,0;31,0;47,5;105,25;93,5;90,25;0;1;7;1;0;1;0;0;0;0;1;0;11,75;1;0;0;0;0;0;1;1;0;G01;1;1;1
4,0;13,0;10,5;15,0;32,0;38,5;86,00;74,5;82,00;0;1;7;1;0;1;0;0;0;0;1;0;11,50;1;0;0;0;0;0;1;1;0;G01;1;1;1
15,0;14,0;16,0;15,5;32,5;46,5;105,00;93,0;91,00;0;1;7;0;0;1;0;0;0;0;1;0;12,00;1;0;0;0;0;0;1;1;0;G01;1;1;1
10,0;10,5;8,0;10,0;26,5;30,5;76,50;65,0;68,50;0;1;7;1;1;1;0;0;0;0;1;0;11,50;1;0;0;0;0;0;1;1;0;G01;1;1;1
13,0;14,0;13,0;15,0;37,0;42,0;103,50;92,0;90,50;0;1;7;1;1;1;0;0;0;0;1;0;11,50;1;0;0;0;0;0;1;1;0;G01;1;1;1
9,0;7,0;10,5;7,5;25,0;27,0;70,50;59,0;63,50;0;1;7;1;0;1;0;0;0;0;1;0;11,50;0;0;0;0;0;0;1;0;0;G01;1;1;1
12,0;14,5;13,5;12,5;34,0;40,5;98,25;86,5;86,25;0;1;7;1;1;1;0;0;0;0;1;0;11,75;0;0;0;0;0;0;1;0;0;G01;1;1;1
13,0;9,5;9,5;10,0;23,0;32,5;76,25;65,0;66,75;0;0;7;1;1;1;0;0;0;0;1;0;11,25;1;0;0;0;0;0;1;1;0;G01;1;1;1
12,0;13,0;16,0;11,0;32,5;41,0;95,50;84,5;84,50;0;1;7;0;0;1;0;0;0;0;1;0;11,00;0;0;0;0;0;0;1;0;0;G01;1;1;1
11,0;12,0;15,0;14,0;32,5;41,0;95,83;84,5;84,83;0;1;7;1;1;1;0;0;0;0;1;0;11,33;0;0;0;0;0;0;1;0;0;G01;1;1;1
11,0;4,0;5,5;16,0;14,0;32,5;61,33;50,5;57,33;0;0;7;0;0;1;0;0;0;0;1;0;10,83;0;0;0;0;0;0;1;0;0;G01;1;1;1
6,0;11,0;15,5;10,0;28,0;36,5;81,75;70,5;75,75;0;0;7;1;1;1;0;0;0;0;1;0;11,25;0;0;0;0;0;0;1;0;0;G01;1;1;1
11,0;14,0;9,0;13,0;26,5;38,0;84,00;73,5;75,00;0;0;7;0;0;1;0;0;0;0;1;0;10,50;0;0;0;0;0;0;1;0;0;G01;1;1;1
10,0;6,0;9,0;8,0;20,5;27,0;64,33;53,5;58,33;0;0;7;1;0;1;0;0;0;0;1;0;10,83;0;0;0;0;0;0;1;0;0;G01;1;1;1
