"","test1","test2","test3","test4","final_test","homework_total","total_score","final_score","semester_tests_total","gender","treatment_gain","treatment_loss","treatment_hybrid","semester_tests","d_female","d_mothereduc_uni","d_derivation","time_slot_thursday","time_slot_friday","Group","macro_interest","macro_grade_goal","risk_pref","comp_pref","time_pref","minutes_per_week","fairness_1_7","Comment","knew_other_groups"
"1",12,15,16,16,32.5,12,103.5,91.5,59,"Nő","0","1","0",47,"0","0","1",0,0,"G01",3,"5",5,8,"12.000 forint",200,"5",NA,1
"2",11,15,12,10,31,9.5,88.5,78.5,48,"Nő","0","1","0",38,"0","1","1",0,0,"G01",2,"5",4,6,"11.000 forint",100,"5",NA,1
"3",15,16,15.5,16,31,11.75,105.25,90.25,62.5,"Nő","0","1","0",47.5,"0","1","0",0,0,"G01",4,"5",5,8,"15.000 forint",240,"7",NA,1
"4",4,13,10.5,15,32,11.5,86,82,42.5,"Nő","0","1","0",38.5,"0","1","0",0,0,"G01",3,"4",3,3,"15.000 forint",180,"4",NA,1
"5",15,14,16,15.5,32.5,12,105,91,60.5,"Nő","0","1","0",46.5,"0","0","0",0,0,"G01",3,"5",2,5,"11.000 forint",160,"5",NA,1
"6",10,10.5,8,10,26.5,11.5,76.5,68.5,38.5,"Nő","0","1","0",30.5,"0","1","1",0,0,"G01",5,"5",8,7,"20.000 forint",120,"5","Nincs semmi hozzáfűznivalóm",1
"7",13,14,13,15,37,11.5,103.5,90.5,55,"Nő","0","1","0",42,"0","1","1",0,0,"G01",3,"4",6,8,"12.000 forint",60,"6",NA,1
"8",6,11,15.5,10,28,11.25,81.75,75.75,42.5,"Férfi","0","1","0",36.5,"0","1","1",0,0,"G01",3,"5",7,7,"15.000 forint",20,"5",NA,1
"9",10,6,9,8,20.5,10.83,64.33,58.33,33,"Férfi","0","1","0",27,"0","1","0",0,0,"G01",NA,"5",7,9,"15.000 forint",3,"3",NA,1
"10",10.5,10.5,16,13,29.5,11,90.5,80,50,"Férfi","0","1","0",39.5,"0","1","1",0,0,"G01",5,"5",10,9,"11.000 forint",2,"5",NA,1
"11",13.5,8.5,15,14,31,11.33,93.33,84.83,51,"Nő","0","1","0",42.5,"0","1","0",0,0,"G01",4,"5",7,8,"11.000 forint",120,"7",NA,1
"12",7,14,12,13,28,10.75,84.75,77.75,46,"Férfi","0","1","0",39,"0","1","1",0,0,"G01",4,"5",7,9,"15.000 forint",2,"4",NA,1
"13",13,6.5,15.5,16,30.5,11.42,92.92,86.42,51,"Férfi","0","1","0",44.5,"0","1","1",0,0,"G01",4,"5",6,9,"15.000 forint",60,"3",NA,1
"14",8,10,11,6,19.5,10.75,65.25,59.25,35,"Nő","0","1","0",29,"0","1","1",0,0,"G04",4,"5",5,5,"11.000 forint",120,"4",NA,1
"15",11,7,14,12,28,11.75,83.75,76.75,44,"Nő","0","1","0",37,"0","0","1",0,0,"G04",3,"5",7,10,"15.000 forint",120,"5",NA,1
"16",8.5,12,11,10.5,21.5,10.75,74.25,65.75,42,"Nő","0","1","0",33.5,"0","1","0",0,0,"G04",4,"5",6,5,"11.000 forint",120,"5",NA,1
"17",9,14.5,13,14,32,12,94.5,85.5,50.5,"Férfi","0","1","0",41.5,"0","1","1",0,0,"G04",3,"5",7,8,"12.000 forint",90,"4",NA,1
"18",15,9.5,16,14,31,11.5,97,87.5,54.5,"Nő","0","1","0",45,"0","0","0",0,0,"G04",4,"5",7,7,"11.000 forint",120,"5",NA,1
"19",5.5,9,11,15.5,38.5,9.75,89.25,83.75,41,"Nő","0","1","0",35.5,"0","0","1",0,0,"G04",2,"5",6,3,"15.000 forint",30,"3",NA,1
"20",10,16,15.5,11,30.5,11.5,94.5,84.5,52.5,"Férfi","0","1","0",42.5,"0","1","1",0,0,"G04",3,"5",6,6,"20.000 forint",60,"5",NA,1
"21",16,12,11.5,15,37,12,103.5,92,54.5,"Férfi","0","1","0",43,"0","1","1",0,0,"G04",4,"5",6,7,"15.000 forint",60,"4",NA,1
"22",9,11.5,11,14,31,11.25,87.75,78.75,45.5,"Férfi","0","1","0",36.5,"0","1","1",0,0,"G04",3,"5",2,8,"11.000 forint",120,"2",NA,1
"23",12,13,10,10.5,20,11.75,77.25,67.25,45.5,"Férfi","0","0","1",35.5,"1","0","0",0,1,"G06",4,"5",7,7,"11.000 forint",200,"5",NA,1
"24",6.5,3,0,0,40,10.5,60,60,9.5,"Férfi","0","0","1",9.5,"1","1","1",0,1,"G06",4,"5",7,9,"12.000 forint",60,"1",NA,1
"25",16,15,14,7,29.5,11.75,93.25,86.25,52,"Nő","0","0","1",45,"1","1","1",0,1,"G06",4,"5",5,3,"12.000 forint",180,"6",NA,1
"26",14,12.5,14,0,26,11.25,77.75,77.75,40.5,"Nő","0","0","1",40.5,"1","1","1",0,1,"G06",2,"5",10,10,"11.000 forint",60,"3",NA,1
"27",15,12.5,16,15.5,32.5,9.25,100.75,88.25,59,"Nő","0","0","1",46.5,"1","1","0",0,1,"G06",4,"5",3,7,"12.000 forint",60,"5",NA,0
"28",7.5,7,9,2.5,23.5,10.5,60,57.5,26,"Férfi","0","0","1",23.5,"1","1","0",0,1,"G06",4,"5",8,5,"11.000 forint",180,"5",NA,1
"29",10.5,11.5,7.5,7,25,12,73.5,66.5,36.5,"Nő","1","0","0",29.5,"0","1","0",0,1,"G07",2,"4",10,0,"11.000 forint",60,"2",NA,0
"30",6,15,11,11,19,9.5,71.5,65.5,43,"Nő","1","0","0",37,"0","0","1",0,1,"G07",3,"5",6,7,"12.000 forint",90,"5",NA,0
"31",16,16,14,15,34,11,106,92,61,"Férfi","1","0","0",47,"0","1","1",0,1,"G07",5,"5",8,7,"12.000 forint",80,"7",NA,0
"32",10,10.5,4,11.5,22,9,67,63,36,"Férfi","1","0","0",32,"0","1","1",0,1,"G07",4,"4",7,10,"11.000 forint",120,"3",NA,1
"33",9,4,9,7,21.5,9.33,59.83,55.83,29,"Férfi","1","0","0",25,"0","1","1",0,1,"G07",4,"5",7,9,"12.000 forint",120,"5",NA,0
